date,supplyT,returnT,volume,energy,flow,Frederikshavn Temperature [2 m elevation corrected],OT
2019-12-29 15:00:00,66.08,40.158,156360.9,2850680.0,1.7424000000000004,6.5372853,52.4
2019-12-29 16:00:00,66.096,40.562,156362.7,2850730.0,1.6751999999999998,6.427285,49.14
2019-12-29 17:00:00,66.048,39.584,156364.7,2850790.0,1.9824,6.507285,60.68
2019-12-29 18:00:00,65.96000000000001,40.276,156366.6,2850850.0,1.9392,6.377285,57.32
2019-12-29 19:00:00,66.06,39.794,156368.4,2850900.0,1.8576,6.1172853,56.0
2019-12-29 20:00:00,65.89000000000001,40.144,156370.4,2850960.0,2.2368,6.047285,67.44
2019-12-29 21:00:00,65.6842857142857,40.62428571428571,156372.30000000002,2851010.0,1.803428571428572,6.157285,52.05714285714286
2019-12-29 22:00:00,65.202,46.252,156372.9,2851030.0,0.6576,5.997285,16.26
2019-12-29 23:00:00,64.588,41.34,156373.7,2851050.0,0.7200000000000001,5.967285,19.68
2019-12-30 00:00:00,64.77799999999999,41.132000000000005,156374.6,2851070.0,0.9024,5.8672853,23.4
2019-12-30 01:00:00,64.986,41.062,156375.6,2851100.0,1.0272,5.837285,30.3
2019-12-30 02:00:00,65.00750000000001,41.5325,156376.5,2851130.0,0.942,6.087285,25.375
2019-12-30 03:00:00,65.0775,38.5825,156377.5,2851160.0,1.026,6.247285,31.85
2019-12-30 04:00:00,65.752,39.022000000000006,156379.4,2851220.0,1.8912,6.3472853,58.92
2019-12-30 05:00:00,65.81833333333334,40.21666666666668,156381.7,2851290.0,1.9000000000000004,6.517285,56.0
2019-12-30 06:00:00,65.762,40.688,156383.30000000002,2851330.0,2.0736000000000003,6.857285,59.92
2019-12-30 07:00:00,65.93499999999999,40.783,156385.30000000002,2851390.0,1.7712000000000003,6.977285,51.65
2019-12-30 08:00:00,66.02666666666667,40.89833333333333,156386.9,2851440.0,1.804,6.987285,52.016666666666666
2019-12-30 09:00:00,66.006,40.222,156388.5,2851480.0,1.5024000000000002,6.957285,43.66
2019-12-30 10:00:00,66.00500000000001,39.83,156389.80000000002,2851520.0,1.308,7.167285,39.325
2019-12-30 11:00:00,66.09400000000001,39.26800000000001,156391.6,2851580.0,1.584,7.437285,49.04
2019-12-30 12:00:00,66.022,39.762,156393.2,2851630.0,1.4496,7.5972853,42.8
2019-12-30 13:00:00,65.718,40.662,156394.6,2851670.0,1.3968,6.777285,40.48
2019-12-30 14:00:00,64.76499999999999,39.335,156395.80000000002,2851700.0,1.38,6.837285,41.55
2019-12-30 15:00:00,64.59200000000001,39.662,156397.4,2851750.0,1.5456,6.6172853,44.12
2019-12-30 16:00:00,64.648,39.516000000000005,156399.1,2851800.0,1.6751999999999998,6.427285,48.56
2019-12-30 17:00:00,64.66666666666666,39.00666666666667,156400.6,2851840.0,1.5360000000000005,6.5572853,45.4
2019-12-30 18:00:00,64.6375,40.45,156401.9,2851880.0,1.4220000000000002,6.777285,40.425
2019-12-30 19:00:00,64.77840727251477,40.143851426604826,156403.82173229268,2851938.202352476,1.6467440620752165,6.947285,48.487062788275495
2019-12-30 20:00:00,64.888887062744,40.36992632447405,156405.64172898326,2851992.081071303,1.6697136840371016,6.997285,49.89653098252249
2019-12-30 21:00:00,64.9544192438866,40.80458455355244,156407.07005055144,2852032.150778234,1.5988124319973376,6.917285,48.38024392853072
2019-12-30 22:00:00,64.89096938533544,42.37749880745674,156408.1822874385,2852069.7258433485,0.9527785310965045,6.3672853,28.04728633389352
2019-12-30 23:00:00,64.57366161765486,40.8089515441246,156409.1780043909,2852099.3879348035,0.9262265497061584,5.717285,26.70116262257102
2019-12-31 00:00:00,64.75253237067778,40.48670390223217,156410.0578827055,2852124.743195474,0.9203583430778576,4.8672853,27.401508655567195
2019-12-31 01:00:00,64.83789733817827,39.575522546328514,156411.10676628578,2852159.740359914,0.978917373804042,5.3072853,31.25798893269862
2019-12-31 02:00:00,64.83888468747028,40.289722723421214,156412.02844522704,2852188.805987393,0.9159951736879216,5.5772853,27.170313468235623
2019-12-31 03:00:00,64.89879610907309,38.816654855935866,156413.25480082567,2852230.825490504,0.9669536616285148,6.107285,31.06395883014289
2019-12-31 04:00:00,65.181798577139,38.60876560170682,156415.0129535571,2852291.365789206,1.7101114844491496,5.397285,54.66049350002345
2019-12-31 05:00:00,65.43885699198879,40.42313537428693,156416.9407651845,2852343.092815122,1.7032822466671935,4.887285,49.87834352085858
2019-12-31 06:00:00,65.45071911693863,40.637252180947925,156418.59558069057,2852386.190726748,1.6931168233655856,4.717285,49.73910712170599
2019-12-31 07:00:00,65.52032689513872,39.8914150842432,156420.36147332986,2852453.434855658,1.608538784210029,4.6172853,50.035809163970455
2019-12-31 08:00:00,65.52786962937283,40.15948427492598,156422.2750679102,2852510.5531958328,1.5699050106149426,4.397285,47.75981900714805
2019-12-31 09:00:00,65.40538150030315,40.33833220512157,156423.8846857125,2852555.205040431,1.5767910848782964,4.187285,46.00723971033757
